locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name
SL1344_P2_0087,5,0.059419,1.0,6e-06,d2,pilT
SL1344_2313,1,0.35786,1.0,6e-06,d2,SL1344_2313
SL1344_1597,1,0.36003,1.0,6e-06,d2,SL1344_1597
SL1344_P1_0010,1,0.36173,1.0,6e-06,d2,traG
SL1344_P2_0056,6,0.25988,1.0,6e-06,d2,traY
SL1344_4255,1,0.36172,1.0,6e-06,d2,phoN
SL1344_P2_0088,3,0.50205,1.0,6e-06,d2,pilS
SL1344_P2_0090,2,0.30272,1.0,6e-06,d2,pilQ
SL1344_P1_0016,1,0.36488,1.0,6e-06,d2,traN
SL1344_3455,1,0.36985,1.0,6e-06,d2,comE
SL1344_3911,1,0.36694,1.0,6e-06,d2,pldA
SL1344_0502,1,0.36946,1.0,6e-06,d2,SL1344_0502
SL1344_2089,1,0.37095,1.0,6e-06,d2,wcaD
SL1344_0739,2,0.26674,1.0,6e-06,d2,SL1344_0739
SL1344_2886,2,0.42004,1.0,6e-06,d2,pphB
SL1344_1034,1,0.37673,1.0,6e-06,d2,copS
SL1344_0352,1,0.37724,1.0,6e-06,d2,mod
SL1344_1588,1,0.37649,1.0,6e-06,d2,SL1344_1588
SL1344_0333,1,0.37537,1.0,6e-06,d2,stbC
SL1344_0195,1,0.3771,1.0,6e-06,d2,fhuB
SL1344_1550,3,0.21801,1.0,6e-06,d2,SL1344_1550
SL1344_2348,1,0.37875,1.0,6e-06,d2,mnmC
SL1344_2871,2,0.30561,1.0,6e-06,d2,invJ
SL1344_P2_0086,5,0.21293,1.0,6e-06,d2,pilU
SL1344_2185,1,0.38183,1.0,6e-06,d2,STM2208
SL1344_2251,1,0.38384,1.0,6e-06,d2,glpQ
SL1344_2935,2,0.32028,1.0,6e-06,d2,SL1344_2935
SL1344_0939,1,0.38624,1.0,6e-06,d2,dpaL
SL1344_3099,2,0.25978,1.0,6e-06,d2,SL1344_3099
SL1344_3087,1,0.38495,1.0,6e-06,d2,mltC
SL1344_2741,1,0.388,1.0,6e-06,d2,SL1344_2741
SL1344_2327,2,0.3494,1.0,6e-06,d2,SL1344_2327
SL1344_3043,1,0.38787,1.0,6e-06,d2,yggB
SL1344_2681,1,0.39201,1.0,6e-06,d2,SL1344_2681
SL1344_0295,2,0.42537,1.0,6e-06,d2,safA
SL1344_3647,1,0.39051,1.0,6e-06,d2,selB
SL1344_3263,1,0.39846,1.0,6e-06,d2,SL1344_3263
SL1344_1526,1,0.40238,1.0,6e-06,d2,srfC
SL1344_3962,7,0.83912,1.0,6e-06,d2,ompL
SL1344_1354,1,0.40217,1.0,6e-06,d2,ssaS
SL1344_P2_0085,3,0.18582,1.0,6e-06,d2,pilV
SL1344_1139,1,0.40567,1.0,6e-06,d2,ycfH
SL1344_3165,3,0.59482,1.0,6e-06,d2,assT
SL1344_1331,1,0.4054,1.0,6e-06,d2,sseA
SL1344_1793,1,0.40637,1.0,6e-06,d2,pagO
SL1344_2712,1,0.40873,1.0,6e-06,d2,SL1344_2712
SL1344_1713,2,0.27036,1.0,6e-06,d2,SL1344_1713
SL1344_2845,1,0.40842,1.0,6e-06,d2,avrA
SL1344_P1_0069,1,0.40909,1.0,6e-06,d2,spvC
SL1344_1348,2,0.43524,1.0,6e-06,d2,ssaV
SL1344_2087,3,0.19741,1.0,6e-06,d2,wcaF
SL1344_1882,1,0.41504,1.0,6e-06,d2,dcyD
SL1344_4523,1,0.41588,1.0,6e-06,d2,SL1344_4523
SL1344_P2_0011,4,0.16259,1.0,6e-06,d2,yagA
SL1344_2238,1,0.41788,1.0,6e-06,d2,yojN
SL1344_3896,1,0.41796,1.0,6e-06,d2,SL1344_3896
SL1344_2250,1,0.42078,1.0,6e-06,d2,SL1344_2250
SL1344_0687,1,0.42294,1.0,6e-06,d2,kdpB
SL1344_3142,1,0.4236,1.0,6e-06,d2,ygiR
SL1344_3636,1,0.42979,1.0,6e-06,d2,yiaM
SL1344_0176,1,0.42791,1.0,6e-06,d2,stiC
SL1344_3606,1,0.42683,1.0,6e-06,d2,lpfA
SL1344_3654,1,0.42743,1.0,6e-06,d2,yibL
SL1344_2742,1,0.42909,1.0,6e-06,d2,SL1344_2742
SL1344_4079,1,0.43016,1.0,6e-06,d2,btuB
SL1344_3215,1,0.42997,1.0,6e-06,d2,tdcC
SL1344_1602,1,0.43102,1.0,6e-06,d2,SL1344_1602
SL1344_3217,1,0.43498,1.0,6e-06,d2,tdcA
SL1344_1896,2,0.53259,1.0,6e-06,d2,SL1344_1896
SL1344_3923,1,0.43469,1.0,6e-06,d2,yigN
SL1344_4131,1,0.43818,1.0,6e-06,d2,SL1344_4131
SL1344_0032,1,0.43758,1.0,6e-06,d2,SL1344_0032
SL1344_P1_0066,3,0.39889,1.0,6e-06,d2,spvR
SL1344_0362,1,0.44311,1.0,6e-06,d2,prpR
SL1344_P1_0009,1,0.4446,1.0,6e-06,d2,traS
SL1344_4345,1,0.44473,1.0,6e-06,d2,SL1344_4345
SL1344_2856,4,0.64703,1.0,6e-06,d2,hilA
SL1344_2702,1,0.44892,1.0,6e-06,d2,SL1344_2702
SL1344_1469,2,0.4297,1.0,6e-06,d2,SL1344_1469
SL1344_1338,5,0.26976,1.0,6e-06,d2,sseF
SL1344_0688,1,0.4513,1.0,6e-06,d2,kdpA
SL1344_0280,1,0.45158,1.0,6e-06,d2,sciS
SL1344_1958,1,0.45143,1.0,6e-06,d2,SL1344_1958
SL1344_2710,1,0.45448,1.0,6e-06,d2,SL1344_2710
SL1344_1609,1,0.45376,1.0,6e-06,d2,mppA
SL1344_0814,4,0.33383,1.0,6e-06,d2,SL1344_0814
SL1344_3116,1,0.4548,1.0,6e-06,d2,SL1344_3116
SL1344_3227,4,0.22741,1.0,6e-06,d2,SL1344_3227
SL1344_1256,1,0.45991,1.0,6e-06,d2,ydjM
SL1344_1561,3,0.24672,1.0,6e-06,d2,sseJ
SL1344_0369,1,0.45911,1.0,6e-06,d2,yaiV
SL1344_P2_0035,1,0.45901,1.0,6e-06,d2,ssb
SL1344_4357,2,0.56932,1.0,6e-06,d2,iolG1
SL1344_2220,1,0.46375,1.0,6e-06,d2,SL1344_2220
SL1344_P1_0031,1,0.46548,1.0,6e-06,d2,traL
SL1344_0209,1,0.467,1.0,6e-06,d2,dgt
SL1344_2869,4,0.29937,1.0,6e-06,d2,spaP
SL1344_1615,1,0.47374,1.0,6e-06,d2,ycjX
SL1344_2727,2,0.35677,1.0,6e-06,d2,SL1344_2727
SL1344_0274,1,0.47626,1.0,6e-06,d2,sciK1
SL1344_1265,1,0.47879,1.0,6e-06,d2,SL1344_1265
SL1344_P2_0060,2,0.34162,1.0,6e-06,d2,traU
SL1344_1076,1,0.48205,1.0,6e-06,d2,csgG
SL1344_0517,1,0.47968,1.0,6e-06,d2,ybbY
SL1344_3283,1,0.48215,1.0,6e-06,d2,yrbD
SL1344_2014,2,0.35696,1.0,6e-06,d2,pduA
SL1344_P2_0052,1,0.48421,1.0,6e-06,d2,trbA
SL1344_4230,3,0.75697,1.0,6e-06,d2,yjdB
SL1344_P1_0032,3,0.22686,1.0,6e-06,d2,traA
SL1344_3704,1,0.48979,1.0,6e-06,d2,SL1344_3704
SL1344_3491,2,0.46096,1.0,6e-06,d2,glpG
SL1344_2536,1,0.49123,1.0,6e-06,d2,SL1344_2536
SL1344_1290,2,0.42781,1.0,6e-06,d2,ydiO
SL1344_4290,1,0.49061,1.0,6e-06,d2,yjeF
SL1344_3702,1,0.49142,1.0,6e-06,d2,SL1344_3702
