locus_tag,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Name,ID
SL1344_P1_0058,1,0.16376,1.0,0.25415,d1,SL1344_P1_0058,gene-SL1344_P1_0058
SL1344_1457,2,0.083205,1.0,0.440589,d1,SL1344_1457,gene-SL1344_1457
SL1344_0831,1,0.17063,1.0,0.25415,d1,SL1344_0831,gene-SL1344_0831
SL1344_P1_0011,3,-0.00015111,1.0,0.575131,d1,traH,gene-SL1344_P1_0011
SL1344_1034,1,0.17371,1.0,0.25415,d1,copS,gene-SL1344_1034
SL1344_3654,1,0.17294,1.0,0.25415,d1,yibL,gene-SL1344_3654
SL1344_0273,1,0.17461,1.0,0.25415,d1,SL1344_0273,gene-SL1344_0273
SL1344_1326,2,0.049359,1.0,0.440589,d1,ssrA,gene-SL1344_1326
SL1344_0286A,1,0.17674,1.0,0.25415,d1,SL1344_0286A,gene-SL1344_0286A
SL1344_P1_0034,3,0.075126,1.0,7e-06,d1,traJ,gene-SL1344_P1_0034
SL1344_2115,1,0.17835,1.0,0.25415,d1,SL1344_2115,gene-SL1344_2115
SL1344_P2_0052,1,0.17619,1.0,0.25415,d1,trbA,gene-SL1344_P2_0052
SL1344_3001,1,0.17747,1.0,0.25415,d1,yohL,gene-SL1344_3001
SL1344_3455,1,0.18371,1.0,0.25415,d1,comE,gene-SL1344_3455
SL1344_2794,1,0.17956,1.0,0.25415,d1,proV,gene-SL1344_2794
SL1344_4297,2,0.15228,1.0,7e-06,d1,hflK,gene-SL1344_4297
SL1344_0341,2,0.30853,1.0,7e-06,d1,SL1344_0341,gene-SL1344_0341
SL1344_1354,1,0.18342,1.0,0.25415,d1,ssaS,gene-SL1344_1354
SL1344_2756,1,0.18438,1.0,7e-06,d1,fljB,gene-SL1344_2756
SL1344_2076,3,-0.0035276,1.0,7e-06,d1,wcaM,gene-SL1344_2076
SL1344_1520,1,0.19079,1.0,7e-06,d1,yncB,gene-SL1344_1520
SL1344_P2_0060,2,0.11821,1.0,7e-06,d1,traU,gene-SL1344_P2_0060
SL1344_1289,1,0.18733,1.0,7e-06,d1,ydiP,gene-SL1344_1289
SL1344_3087,1,0.18517,1.0,7e-06,d1,mltC,gene-SL1344_3087
SL1344_4255,1,0.18929,1.0,7e-06,d1,phoN,gene-SL1344_4255
SL1344_2772,1,0.18939,1.0,7e-06,d1,SL1344_2772,gene-SL1344_2772
SL1344_4394,1,0.1884,1.0,7e-06,d1,SL1344_4394,gene-SL1344_4394
SL1344_1139,1,0.19507,1.0,7e-06,d1,ycfH,gene-SL1344_1139
SL1344_0299,2,0.17665,1.0,7e-06,d1,ybeJ,gene-SL1344_0299
SL1344_3955,1,0.19077,1.0,7e-06,d1,typA,gene-SL1344_3955
SL1344_2238,1,0.1919,1.0,7e-06,d1,yojN,gene-SL1344_2238
SL1344_0834,2,0.13941,1.0,7e-06,d1,SL1344_0834,gene-SL1344_0834
SL1344_0999,1,0.19625,1.0,7e-06,d1,ycbW,gene-SL1344_0999
SL1344_0336,1,0.19904,1.0,7e-06,d1,SL1344_0336,gene-SL1344_0336
SL1344_3098,1,0.19698,1.0,7e-06,d1,SL1344_3098,gene-SL1344_3098
SL1344_4501,1,0.19594,1.0,7e-06,d1,SL1344_4501,gene-SL1344_4501
SL1344_1958,1,0.19579,1.0,7e-06,d1,SL1344_1958,gene-SL1344_1958
SL1344_2363,2,0.19746,1.0,7e-06,d1,pgtE,gene-SL1344_2363
SL1344_1846,1,0.19918,1.0,7e-06,d1,SL1344_1846,gene-SL1344_1846
SL1344_2710,1,0.20055,1.0,7e-06,d1,SL1344_2710,gene-SL1344_2710
SL1344_2767,1,0.19884,1.0,7e-06,d1,nixA,gene-SL1344_2767
SL1344_3923,1,0.20002,1.0,7e-06,d1,yigN,gene-SL1344_3923
SL1344_0246,1,0.20508,1.0,7e-06,d1,metQ,gene-SL1344_0246
SL1344_1344,1,0.20449,1.0,7e-06,d1,SL1344_1344,gene-SL1344_1344
SL1344_1713,2,0.078981,1.0,0.440589,d1,SL1344_1713,gene-SL1344_1713
SL1344_0520,1,0.21025,1.0,7e-06,d1,allC,gene-SL1344_0520
SL1344_P1_0017,2,0.13129,1.0,7e-06,d1,trbC,gene-SL1344_P1_0017
SL1344_1049,1,0.21059,1.0,7e-06,d1,SL1344_1049,gene-SL1344_1049
SL1344_3215,1,0.20747,1.0,7e-06,d1,tdcC,gene-SL1344_3215
SL1344_2124,1,0.21182,1.0,7e-06,d1,thiM,gene-SL1344_2124
SL1344_2088,1,0.21131,1.0,7e-06,d1,wcaE,gene-SL1344_2088
SL1344_0739,2,0.14104,1.0,7e-06,d1,SL1344_0739,gene-SL1344_0739
SL1344_3911,1,0.21122,1.0,7e-06,d1,pldA,gene-SL1344_3911
SL1344_2365,2,0.12276,1.0,0.440589,d1,pgtB,gene-SL1344_2365
SL1344_0687,1,0.21537,1.0,7e-06,d1,kdpB,gene-SL1344_0687
