Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast
SL1344_2311,1,-0.14452,0.569258,0.9267129999999999,d2
siiD,3,-0.073142,1.0,9e-06,d2
SL1344_2536,1,-0.097567,0.569258,0.9267129999999999,d2
FQ312003.1:2729620,1,-0.21727,0.569258,0.9267129999999999,d2
envF,1,-0.20740999999999998,0.569258,0.9267129999999999,d2
FQ312003.1:116262,1,-0.25937,0.569258,0.9267129999999999,d2
yaiV,1,-0.17267000000000002,0.569258,0.9267129999999999,d2
SL1344_4523,1,-0.11175999999999998,0.569258,0.9267129999999999,d2
sseI,1,-0.064611,0.569258,0.9267129999999999,d2
sdaC,1,-0.13508,0.569258,0.9267129999999999,d2
sufS,1,-0.21116999999999997,0.569258,0.9267129999999999,d2
FQ312003.1:906453,1,-0.14346,0.569258,0.9267129999999999,d2
yliJ,1,-0.1525,0.569258,0.9267129999999999,d2
ydiP,1,-0.11437,0.569258,0.9267129999999999,d2
metQ,1,-0.25734,0.569258,0.9267129999999999,d2
FQ312003.1:2268354,1,-0.19742,0.569258,0.9267129999999999,d2
fhuA,1,-0.21927,0.569258,0.9267129999999999,d2
FQ312003.1:1327890,1,-0.27258000000000004,0.569258,0.9267129999999999,d2
FQ312003.1:2949121,1,-0.036646,0.569258,0.9267129999999999,d2
SL1344_1344,1,-0.17783,0.8287690000000001,0.9267129999999999,d2
SL1344_1778,1,-0.37858,0.8287690000000001,0.9267129999999999,d2
SL1344_3116,1,-0.07929800000000001,0.8287690000000001,0.9267129999999999,d2
SL1344_3564,2,0.031341,1.0,9e-06,d2
FQ312003.1:2112955,1,-0.17057,0.8287690000000001,0.9267129999999999,d2
msrA,1,-0.020093,0.8287690000000001,0.9267129999999999,d2
yggB,1,-0.07755,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:1317077,1,-0.012214000000000001,0.8287690000000001,0.9267129999999999,d2
oppA,1,-0.11425,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:337052,1,-0.035615,0.8287690000000001,0.9267129999999999,d2
SL1344_0741,1,-0.40336,0.8287690000000001,0.9267129999999999,d2
SL1344_1563,2,-0.07108300000000001,1.0,9e-06,d2
FQ312003.1:4222770,1,-0.15134,0.8287690000000001,0.9267129999999999,d2
sseK3,1,-0.26503000000000004,0.8287690000000001,0.9267129999999999,d2
SL1344_0502,1,-0.025378,0.8287690000000001,0.9267129999999999,d2
yeeX,1,-0.44105,0.8287690000000001,0.9267129999999999,d2
wcaM,3,0.035111,1.0,9e-06,d2
FQ312003.1:3213366,1,-1.08,0.8287690000000001,0.9267129999999999,d2
SL1344_0705,1,-0.13112000000000001,0.8287690000000001,0.9267129999999999,d2
hypA,1,-0.17806,0.8287690000000001,0.9267129999999999,d2
ygiR,1,-0.021366,0.8287690000000001,0.9267129999999999,d2
ssaS,1,-0.047485,0.8287690000000001,0.9267129999999999,d2
HE654725.1:43580,1,-0.18473,0.8287690000000001,0.9267129999999999,d2
ydiO,2,-0.08136,1.0,9e-06,d2
tdcA,1,-0.021736000000000002,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:4687551,1,-0.013602000000000001,0.8287690000000001,0.9267129999999999,d2
sopA,4,-0.037673000000000005,1.0,9e-06,d2
SL1344_2250,1,-0.03687,0.8287690000000001,0.9267129999999999,d2
yddG,1,-0.21964,0.8287690000000001,0.9267129999999999,d2
SL1344_0836,1,-0.1503,0.8287690000000001,0.9267129999999999,d2
traN,1,-0.074272,0.8287690000000001,0.9267129999999999,d2
rhlB,1,-0.28317,0.8287690000000001,0.9267129999999999,d2
SL1344_0029,2,0.11137999999999999,1.0,9e-06,d2
nixA,1,-0.039811,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:784149,1,-0.10829000000000001,0.8287690000000001,0.9267129999999999,d2
kdpA,1,-0.08753,0.8287690000000001,0.9267129999999999,d2
yohL,1,-0.032789,0.8287690000000001,0.9267129999999999,d2
SL1344_0599,1,-0.10519,0.8287690000000001,0.9267129999999999,d2
yhjA,5,0.09026,1.0,9e-06,d2
fepA,1,-0.22332,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:1798516,1,-0.24984,0.8287690000000001,0.9267129999999999,d2
ybhM,5,0.057353999999999995,1.0,9e-06,d2
dpaL,1,-0.079127,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:2884859,1,-0.20001,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:340985,1,-0.14683,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:4041324,1,-0.26794,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:927790,1,-0.14229,0.8287690000000001,0.9267129999999999,d2
SL1344_2537,1,-0.18617,0.8287690000000001,0.9267129999999999,d2
SL1344_0341,2,0.0037207,1.0,9e-06,d2
FQ312003.1:4336895,1,-0.038587,0.8287690000000001,0.9267129999999999,d2
ynaI,1,-0.16990999999999998,0.8287690000000001,0.9267129999999999,d2
fucI,1,-0.041178,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:3536157,1,-0.20124,0.8287690000000001,0.9267129999999999,d2
csgF,1,-0.029501,0.8287690000000001,0.9267129999999999,d2
wzx,1,-0.29206,0.8287690000000001,0.9267129999999999,d2
SL1344_1067,1,-0.089787,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:134318,1,-0.0033361,0.8287690000000001,0.9267129999999999,d2
ssaN,1,-0.20228,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:3312771,1,-0.073353,0.8287690000000001,0.9267129999999999,d2
SL1344_2552,3,-0.07881,1.0,9e-06,d2
FQ312003.1:617665,1,-0.044180000000000004,0.8287690000000001,0.9267129999999999,d2
srfC,1,-0.058226,0.8287690000000001,0.9267129999999999,d2
pagO,1,-0.042374,0.8287690000000001,0.9267129999999999,d2
SL1344_1477,1,-0.067109,0.8287690000000001,0.9267129999999999,d2
hscC,1,-0.053292,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:2619355,1,-0.13227,0.8287690000000001,0.9267129999999999,d2
STM2208,1,-0.007644199999999999,0.8287690000000001,0.9267129999999999,d2
FQ312003.1:3123435,1,-0.020066,0.8287690000000001,0.9267129999999999,d2
eutS,1,-0.16105999999999998,0.8287690000000001,0.9267129999999999,d2
tdcE,3,-0.0013333,1.0,9e-06,d2
SL1344_3263,1,-0.039031,0.8287690000000001,0.9267129999999999,d2
mgtB,3,0.070013,1.0,9e-06,d2
nikB,1,-0.026847000000000003,0.8287690000000001,0.9267129999999999,d2
